Name,Year,Author,ISBN-10,Pages,Language,File size,File format,Category,Links
Pro Azure Governance and Security,2019,David Rendon,1484249097,317,English,19.7 MB,"PDF, ePub",Hardware & DIY,"http://file.allitebooks.com/20190620/Pro Azure Governance and Security.pdf , http://file.allitebooks.com/20190620/Pro Azure Governance and Security.epub"
Rapid Java Persistence and Microservices,2019,Raj Malhotra,1484244753,319,English,4.8 MB,"PDF, ePub",Java,"http://file.allitebooks.com/20190620/Rapid Java Persistence and Microservices.pdf , http://file.allitebooks.com/20190620/Rapid Java Persistence and Microservices.epub"
Approachable Accessibility,2019,Martine Dowden,1484248805,120,English,4.9 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190619/Approachable Accessibility.pdf , http://file.allitebooks.com/20190619/Approachable Accessibility.epub"
"Pro iPhone Development with Swift 5, 2nd Edition",2019,Wallace Wang,1484249437,593,English,12.2 MB,"PDF, ePub",Swift,"http://file.allitebooks.com/20190619/Pro iPhone Development with Swift 5, 2nd Edition.pdf , http://file.allitebooks.com/20190619/Pro iPhone Development with Swift 5, 2nd Edition.epub"
SSCP Systems Security Certified Practitioner Practice Exams,2019,Nick Mitropoulos,1260455971,240,English,2.4 MB,ePub,Certification,http://file.allitebooks.com/20190617/SSCP Systems Security Certified Practitioner Practice Exams.epub
Practical LPIC-3 300,2019,Antonio Vazquez,1484244729,732,English,16 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190616/Practical LPIC-3 300.pdf , http://file.allitebooks.com/20190616/Practical LPIC-3 300.epub"
Foundations of Libvirt Development,2019,W. David Ashley,1484248619,408,English,2.9 MB,"PDF, ePub",Linux & Unix,"http://file.allitebooks.com/20190615/Foundations of Libvirt Development.pdf , http://file.allitebooks.com/20190615/Foundations of Libvirt Development.epub"
OCP Java SE 8 Programmer II Exam Guide,2018,Bert Bates,1260117383,976,English,116.9 MB,PDF,Java,http://file.allitebooks.com/20190615/OCP Java SE 8 Programmer II Exam Guide.pdf
Samsung Galaxy S10 For Dummies,2019,Bill Hughes,1119579392,336,English,27 MB,ePub,Hardware & DIY,http://file.allitebooks.com/20190614/Samsung Galaxy S10 For Dummies.epub
Think DSP,2016,Allen B. Downey,1491938455,168,English,9 MB,ePub,Python,http://file.allitebooks.com/20190614/Think DSP.epub
"CEH Certified Ethical Hacker Practice Exams, 4th Edition",2019,Matt Walker,1260455084,384,English,4.4 MB,ePub,Security,"http://file.allitebooks.com/20190613/CEH Certified Ethical Hacker Practice Exams, 4th Edition.epub"
"React Native for Mobile Development, 2nd Edition",2019,Abhishek Nalwaya,1484244532,235,English,6.6 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190613/React Native for Mobile Development, 2nd Edition.pdf , http://file.allitebooks.com/20190613/React Native for Mobile Development, 2nd Edition.epub"
Machine Learning with Microsoft Technologies,2019,Leila Etaati,1484236572,365,English,28.6 MB,"PDF, ePub",.NET,"http://file.allitebooks.com/20190613/Machine Learning with Microsoft Technologies.pdf , http://file.allitebooks.com/20190613/Machine Learning with Microsoft Technologies.epub"
Cracking Codes and Cryptograms For Dummies,2009,Christopher L. Hodapp,0470591005,336,English,4.6 MB,PDF,Security,http://file.allitebooks.com/20190612/Cracking Codes and Cryptograms For Dummies.pdf
The TCP/IP Guide,2005,Charles M. Kozierok,159327047X,1616,English,15.3 MB,ePub,Networking & Cloud Computing,http://file.allitebooks.com/20190612/The TCPIP Guide.epub
Implementing iOS and macOS Documents with the Files App,2019,Jesse Feiler,1484244915,156,English,5.6 MB,"PDF, ePub",Apps,"http://file.allitebooks.com/20190611/Implementing iOS and macOS Documents with the Files App.pdf , http://file.allitebooks.com/20190611/Implementing iOS and macOS Documents with the Files App.epub"
Haskell Quick Syntax Reference,2019,Marius Mihailescu,1484245067,207,English,4.3 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190611/Haskell Quick Syntax Reference.pdf , http://file.allitebooks.com/20190611/Haskell Quick Syntax Reference.epub"
Deep Learning for Search,2019,Tommaso Teofili,1617294799,355,English,8.2 MB,PDF,Programming,http://file.allitebooks.com/20190610/Deep Learning for Search.pdf
Beginning Azure Functions,2019,Rahul Sawhney,1484244435,177,English,6.6 MB,"PDF, ePub",Cloud Computing,"http://file.allitebooks.com/20190609/Beginning Azure Functions.pdf , http://file.allitebooks.com/20190609/Beginning Azure Functions.epub"
Drools JBoss Rules 5.0 Developers Guide,2009,Michal Bali,1847195644,320,English,4.8 MB,PDF,Computer Science,http://file.allitebooks.com/20190608/Drools JBoss Rules 5.0 Developers Guide.pdf
Git Pocket Guide,2013,Richard E. Silverman,9781449325862,234,English,7.3 MB,PDF,Linux & Unix,http://file.allitebooks.com/20190607/Git Pocket Guide.pdf
NFC For Dummies,2016,Robert P. Sabella,1119182921,288,English,11.8 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20190607/NFC For Dummies.pdf
BlackBerry Application Development For Dummies,2010,Karl G. Kowalski,0470467118,408,English,5.5 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20190606/BlackBerry Application Development For Dummies.pdf
GitHub For Dummies,2019,Guthals,1119572673,384,English,51.4 MB,PDF,Programming,http://file.allitebooks.com/20190606/GitHub For Dummies.pdf
Make Your Own Scratch Games!,2019,Anna Anthropy,1593279361,192,English,12.6 MB,ePub,Game Programming,http://file.allitebooks.com/20190605/Make Your Own Scratch Games.epub
"Practical Salesforce Development Without Code, 2nd Edition",2019,Philip Weinmeister,1484248708,514,English,22.1 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190605/Practical Salesforce Development Without Code, 2nd Edition.pdf , http://file.allitebooks.com/20190605/Practical Salesforce Development Without Code, 2nd Edition.epub"
DevOps in Python,2019,Moshe Zadka,148424432X,169,English,1.9 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190605/DevOps in Python.pdf , http://file.allitebooks.com/20190605/DevOps in Python.epub"
"CISSP All-in-One Exam Guide, 8th Edition",2018,Fernando Maymi,1260142655,1408,English,62.6 MB,PDF,Certification,"http://file.allitebooks.com/20190604/CISSP All-in-One Exam Guide, 8th Edition.pdf"
"Pro SQL Server 2019 Wait Statistics, 2nd Edition",2019,Enrico Van De Laar,1484249151,399,English,20 MB,"PDF, ePub",SQL,"http://file.allitebooks.com/20190604/Pro SQL Server 2019 Wait Statistics, 2nd Edition.pdf , http://file.allitebooks.com/20190604/Pro SQL Server 2019 Wait Statistics, 2nd Edition.epub"
"CSS3 Quick Syntax Reference, 2nd Edition",2019,Mikael Olsson,148424902X,200,English,2.5 MB,"PDF, ePub","HTML, HTML5 & CSS","http://file.allitebooks.com/20190603/CSS3 Quick Syntax Reference, 2nd Edition.pdf , http://file.allitebooks.com/20190603/CSS3 Quick Syntax Reference, 2nd Edition.epub"
Design Patterns in .NET,2019,Dmitri Nesteruk,148424365X,376,English,3.2 MB,"PDF, ePub",.NET,"http://file.allitebooks.com/20190602/Design Patterns in .NET.pdf , http://file.allitebooks.com/20190602/Design Patterns in .NET.epub"
"Pro MERN Stack, 2nd Edition",2019,Vasan Subramanian,1484243900,568,English,7.9 MB,"PDF, ePub",Software,"http://file.allitebooks.com/20190602/Pro MERN Stack, 2nd Edition.pdf , http://file.allitebooks.com/20190602/Pro MERN Stack, 2nd Edition.epub"
Pro React 16,2019,Adam Freeman,1484244508,745,English,18.2 MB,"PDF, ePub",Software,"http://file.allitebooks.com/20190602/Pro React 16.pdf , http://file.allitebooks.com/20190602/Pro React 16.epub"
"Beginning iPhone Development with Swift 5, 5th Edition",2019,Wallace Wang,1484248643,648,English,23.1 MB,"PDF, ePub",Swift,"http://file.allitebooks.com/20190601/Beginning iPhone Development with Swift 5, 5th Edition.pdf , http://file.allitebooks.com/20190601/Beginning iPhone Development with Swift 5, 5th Edition.epub"
Exploring Advanced Features in C#,2019,Dirk Strauss,1484248554,288,English,10.6 MB,"PDF, ePub",C#,"http://file.allitebooks.com/20190531/Exploring Advanced Features in C-.pdf , http://file.allitebooks.com/20190531/Exploring Advanced Features in C-.epub"
Learn Kotlin for Android Development,2019,Peter Späth,1484244664,473,English,6.2 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190530/Learn Kotlin for Android Development.pdf , http://file.allitebooks.com/20190530/Learn Kotlin for Android Development.epub"
Event Streams in Action,2019,Alexander Dean,1617292346,344,English,6.2 MB,ePub,Services & APIs,http://file.allitebooks.com/20190530/Event Streams in Action.epub
Cloud Native Patterns,2019,Cornelia Davis,1617294292,400,English,9.5 MB,ePub,Java,http://file.allitebooks.com/20190530/Cloud Native Patterns.epub
"Troubleshooting Your PC for Dummies, 2nd Edition",2005,Dan Gookin,0764577425,408,English,8.8 MB,PDF,Hardware & DIY,"http://file.allitebooks.com/20190529/Troubleshooting Your PC for Dummies, 2nd Edition.pdf"
Paint Shop Pro 9 For Dummies,2005,David C. Kay,0764579355,376,English,10.4 MB,PDF,Game Programming,http://file.allitebooks.com/20190529/Paint Shop Pro 9 For Dummies.pdf
Building Research Tools with Google For Dummies,2005,Harold Davis,076457809X,366,English,10.9 MB,PDF,Marketing & SEO,http://file.allitebooks.com/20190529/Building Research Tools with Google For Dummies.pdf
Photoshop CS2 All-in-One Desk Reference For Dummies,2005,Barbara Obermeier,0764589164,704,English,45.2 MB,PDF,Photoshop,http://file.allitebooks.com/20190529/Photoshop CS2 All-in-One Desk Reference For Dummies.pdf
Excel 2003 All-in-One Desk Reference For Dummies,2003,Greg Harvey,076453758X,840,English,11.1 MB,ePub,Office,http://file.allitebooks.com/20190528/Excel 2003 All-in-One Desk Reference For Dummies.epub
Photoshop CS All-in-One Desk Reference For Dummies,201,Barbara Obermeier,0764542397,856,English,18.7 MB,PDF,Photoshop,http://file.allitebooks.com/20190528/Photoshop CS All-in-One Desk Reference For Dummies.pdf
"QuickBooks 2005 For Dummies, 2nd Edition",2004,Stephen L. Nelson,0764576615,408,English,10.4 MB,PDF,Software,"http://file.allitebooks.com/20190528/QuickBooks 2005 For Dummies, 2nd Edition.pdf"
Big Data Analytics,2016,B.L.S. Prakasa Rao,9788132236269,276,English,7.4 MB,PDF,Data Mining,http://file.allitebooks.com/20190528/Big Data Analytics.pdf
Integrating Serverless Architecture,2019,Rami Vemula,1484244885,436,English,23.4 MB,"PDF, ePub",C & C++,"http://file.allitebooks.com/20190528/Integrating Serverless Architecture.pdf , http://file.allitebooks.com/20190528/Integrating Serverless Architecture.epub"
iOS App Development For Dummies,2014,Jesse Feiler,9781118871058,576,English,55.4 MB,PDF,Programming,http://file.allitebooks.com/20190527/iOS App Development For Dummies.pdf
Web-Based Projects that Rock the Class,2019,Christos Karayiannis,1484244621,506,English,14.6 MB,"PDF, ePub",Web Development,"http://file.allitebooks.com/20190526/Web-Based Projects that Rock the Class.pdf , http://file.allitebooks.com/20190526/Web-Based Projects that Rock the Class.epub"
"Python, PyGame, and Raspberry Pi Game Development, 2nd Edition",2019,Sloan Kelly,1484245326,389,English,5.9 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190526/Python, PyGame, and Raspberry Pi Game Development, 2nd Edition.pdf , http://file.allitebooks.com/20190526/Python, PyGame, and Raspberry Pi Game Development, 2nd Edition.epub"
Progressive Web Apps with Angular,2019,Majid Hajian,1484244478,380,English,9.3 MB,"PDF, ePub",Apps,"http://file.allitebooks.com/20190524/Progressive Web Apps with Angular.pdf , http://file.allitebooks.com/20190524/Progressive Web Apps with Angular.epub"
Phoenix in Action,2019,Geoffrey Lessel,1617295043,336,English,7.6 MB,"PDF, ePub",Datebases,"http://file.allitebooks.com/20190524/Phoenix in Action.pdf , http://file.allitebooks.com/20190524/Phoenix in Action.epub"
"The IDA Pro Book, 2nd edition",2019,Chris Eagle,1593272898,672,English,5.6 MB,ePub,Programming,"http://file.allitebooks.com/20190524/The IDA Pro Book, 2nd edition.epub"
"QuickBooks Online For Dummies, 5th Edition",2019,Elaine Marmel,1119590663,320,English,14.4 MB,ePub,Software,"http://file.allitebooks.com/20190524/QuickBooks Online For Dummies, 5th Edition.epub"
Architecting Modern Data Platforms,2019,Ian Buss,149196927X,636,English,12.7 MB,ePub,Datebases,http://file.allitebooks.com/20190524/Architecting Modern Data Platforms.epub
AWS Lambda in Action,2016,Danilo Poccia,1617293717,384,English,10.6 MB,ePub,JavaScript,http://file.allitebooks.com/20190523/AWS Lambda in Action.epub
Clean Python,2019,Sunil Kapil,English,267,English,2.2 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190522/Clean Python.pdf , http://file.allitebooks.com/20190522/Clean Python.epub"
asyncio Recipes,2019,Mohamed Mustapha Tahrioui,1484244001,313,English,2.5 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190522/asyncio Recipes.pdf , http://file.allitebooks.com/20190522/asyncio Recipes.epub"
Deploying SharePoint 2019,2019,Trevor Seward,1484245253,476,English,21.7 MB,"PDF, ePub",.NET,"http://file.allitebooks.com/20190522/Deploying SharePoint 2019.pdf , http://file.allitebooks.com/20190522/Deploying SharePoint 2019.epub"
"Text Analytics with Python, 2nd Edition",2019,Dipanjan Sarkar,1484243536,674,English,17.2 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190522/Text Analytics with Python, 2nd Edition.pdf , http://file.allitebooks.com/20190522/Text Analytics with Python, 2nd Edition.epub"
"Firebug 1.5: Editing, Debugging, and Monitoring Web Pages",201,Chandan Luthra,1847194966,224,English,6.6 MB,PDF,Programming,http://file.allitebooks.com/20190521/Firebug 1.5.pdf
Foundations of Qt Development,2007,Johan Thelin,1590598318,528,English,6.3 MB,PDF,Photoshop,http://file.allitebooks.com/20190521/Foundations of Qt Development.pdf
"Core Data by Tutorials, 5th Edition",2018,Raywenderlich.com Team,1942878613,280,English,40.6 MB,"PDF, ePub",Swift,"http://file.allitebooks.com/20190520/Core Data by Tutorials, 5th Edition.pdf , http://file.allitebooks.com/20190520/Core Data by Tutorials, 5th Edition.epub"
Google Cloud Platform in Action,2018,JJ Geewax,9781617293528,632,English,16.5 MB,ePub,Services & APIs,http://file.allitebooks.com/20190520/Google Cloud Platform in Action.epub
"AutoCAD For Dummies, 18th Edition",2019,Bill Fane,1119580080,544,English,20.4 MB,PDF,CAD,"http://file.allitebooks.com/20190520/AutoCAD For Dummies, 18th Edition.pdf"
Excel 2010 Financials Cookbook,2011,Andre Odnoha,1849691185,260,English,14.3 MB,PDF,Datebases,http://file.allitebooks.com/20190519/Excel 2010 Financials Cookbook.pdf
Classic Computer Science Problems in Swift,2018,David Kopec,1617294896,224,English,2.1 MB,ePub,Swift,http://file.allitebooks.com/20190519/Classic Computer Science Problems in Swift.epub
Office 2013 Simplified,2013,Elaine Marmel,1118517172,408,English,30.7 MB,PDF,Office,http://file.allitebooks.com/20190518/Office 2013 Simplified.pdf
"The Everyday Internet All-in-One Desk Reference For Dummies, 3rd Edition",2005,Peter Weverka,0764588753,624,English,17 MB,PDF,Computer Science,"http://file.allitebooks.com/20190518/The Everyday Internet All-in-One Desk Reference For Dummies, 3rd Edition.pdf"
"Oracle High Availability, Disaster Recovery, and Cloud Services",2019,Bal Mukund Sharma,1484243501,679,English,21.2 MB,"PDF, ePub",Oracle,"http://file.allitebooks.com/20190517/Oracle High Availability, Disaster Recovery, and Cloud Services.pdf , http://file.allitebooks.com/20190517/Oracle High Availability, Disaster Recovery, and Cloud Services.epub"
Programmer’s Guide to Apache Thrift,2019,Randy Abernethy,1617296163,592,English,13.5 MB,ePub,PHP,http://file.allitebooks.com/20190517/Programmer's Guide to Apache Thrift.epub
Deep Learning For Dummies,2019,John Paul Mueller,1119543045,368,English,11.3 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190516/Deep Learning For Dummies.pdf , http://file.allitebooks.com/20190516/Deep Learning For Dummies.epub"
Python All-in-One For Dummies,2019,Alan Simpson,1119557593,740,English,42.8 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190516/Python All-in-One For Dummies.pdf , http://file.allitebooks.com/20190516/Python All-in-One For Dummies.epub"
Automate the Boring Stuff with Python,2015,Al Sweigart,1593275994,504,English,17 MB,PDF,Python,http://file.allitebooks.com/20190515/Automate the Boring Stuff with Python.pdf
"Node.js in Action, 2nd Edition",2017,Alex R. Young,1617292575,392,English,13.5 MB,"PDF, ePub",JavaScript,"http://file.allitebooks.com/20190515/Node.js in Action, 2nd Edition.pdf , http://file.allitebooks.com/20190515/Node.js in Action, 2nd Edition.epub"
Practical Monitoring,2017,Mike Julian,1491957352,170,English,3.5 MB,"PDF, azw3",Networking & Cloud Computing,"http://file.allitebooks.com/20190515/Practical Monitoring.pdf , http://file.allitebooks.com/20190515/Practical Monitoring.azw3"
Blender Game Engine: Beginner’s Guide,2012,Victor Kuller Bacone,1849517029,206,English,11.1 MB,PDF,3D Graphics,http://file.allitebooks.com/20190514/Blender Game Engine Beginner s Guide.pdf
"Effective awk Programming, 4th Edition",2015,Arnold Robbins,1491904615,560,English,5.6 MB,ePub,Linux & Unix,"http://file.allitebooks.com/20190514/Effective awk Programming, 4th Edition.pdf"
Serverless Applications with Node.js,2019,Aleksandar Simovic,1617294721,352,English,27.4 MB,ePub,JavaScript,http://file.allitebooks.com/20190514/Serverless Applications with Nodejs.epub
Practical Recommender Systems,2019,Kim Falk,1617292702,432,English,16.4 MB,ePub,Data Mining,http://file.allitebooks.com/20190514/Practical Recommender Systems.epub
Testing Microservices with Mountebank,2019,Brandon Byars,1617294772,240,English,4.4 MB,PDF,Testing & Engineering,http://file.allitebooks.com/20190514/Testing Microservices with Mountebank.epub
Reactive Applications with Akka.NET,2019,Anthony Brown,1617292982,280,English,2.9 MB,PDF,Software,http://file.allitebooks.com/20190514/Reactive Applications with Akka.NET.epub
"Getting MEAN with Mongo, Express, Angular, and Node, 2nd Edition",2019,Clive Herber,1617294756,504,English,9.9 MB,PDF,JavaScript,"http://file.allitebooks.com/20190514/Getting MEAN with Mongo, Express, Angular, and Node, 2nd Edition.pdf"
